Act Name,Act Code
Dalmia Dadri Cement Limited (Acquisition and Transfer of  Undertakings) Act,282
Damodar Valley Corporation Act,283
Dangerous Machines (Regulation) Act,284
Decrees and Orders Validating Act,285
Dehra Dun,286
Dekkhan Agriculturists Relief Act,287
Delhi Agricultural Produce Marketing (Regulation) Act,288
Delhi and Ajmer-Merwara Land Development Act,289
Delhi and Ajmer Rent Control Act,290
Delhi and Ajmer Rent Control (Nasirabad Cantonment Repeal) Act,291
Delhi Apartment Ownership Act,292
Delhi Co-operative Societies Act,293
Delhi Delegation of Powers Act,294
Delhi Development Act,295
"Delhi Development Authority (Validation of Disciplinary   Powers) Act, 1998",296
Delhi Fire Prevention and Fire Safety Act,297
Delhi High Court Act,298
Delhi High Court (Amendment) Act,299
Delhi Hotels (Control of Accommodation) Act,300
Delhi Land Holdings (Ceiling) Act,301
Delhi Lands (Restriction on Transfer) Act,302
Delhi Laws Act,305
Delhi Laws Act,303
Delhi Laws (Special Provisions) Act,304
Delhi Metro Railways (Operation and Maintenance) Act,306
Delhi Motor Vehicles Taxation Act,307
Delhi Police Act,308
Delhi Primary Education Act,309
Delhi Rent Act,310
Delhi Rent Control Act,311
Delhi Restriction of Uses of Land Act,312
Delhi Road Transport Laws (Amendment) Act,313
Delhi Sales Tax Act,314
Delhi Sales Tax (Amendment and Validation) Act,315
Delhi School Education Act,316
Delhi Sikh Gurdwaras Act,317
Delhi Special Police Establishment Act,318
Delhi University Act,319
Delhi (Urban Areas) Tenants' Relief Act,320
"Delhi Urban Art Commission Act, 1973",321
Delimitation Act,322
Delivery of Books and Newspapers (Public Libraries) Act,323
Dentists Act,324
Departmental Inquiries (Enforcement of Attendance  of  Witnesses and Production of Documents) Act,325
Departmentalisation of Union Accounts (Transfer of Personnel) Act,326
Deposit Insurance and Credit Guarantee Corporation Act,327
Deposit Insurance Corporation (Amendment and  Miscellaneous  Provisions) Act,328
Depositories Act,329
Designs Act,330
Destruction of Records Act,331
Destructive Insects and Pests Act,332
Destructive Insects and Pests (Amendment and Validation) Act,333
Diplomatic and Consular Officers (Oaths and Fees) Act,334
Diplomatic and Consular Officers (Oaths and Fees) (Extension  to Jammu and Kashmir) Act,335
Diplomatic Relations (Vienna Convention) Act,336
Direct Tax Laws (Amendment) Act,337
Direct-Tax Laws (Miscellaneous) Repeal Act,338
Disaster Management Act,339
Displaced Persons (Debts Adjustment) Act,340
Disputed Elections (Prime Minister and Speaker)  Act,341
Dissolution of Muslim Marriages Act,342
Disturbed Areas (Special Courts) Act,343
Divorce Act,344
Dock Workers (Regulation of Employment) Act,345
Dock Workers (Regulation of Employment)  (Inapplicability to  Major Ports) Act,346
"Dock Workers (Safety, Health and Welfare) Act",347
Dourine Act,348
Dowry Prohibition Act,349
Dramatic Performances Act,350
Drugs and Cosmetics Act,351
Drugs and Magic Remedies (Objectionable Advertisements) Act,352
Drugs (Control) Act,353
Durgah Khawaja Saheb Act,354
Easements (Extending Act 5 of 1882),355
East-Punjab Urban Rent Restriction (Extension to Chandigarh)  Act,356
Economic Offences (Inapplicability of Limitation) Act,357
Election Commission (Conditions of Service of Election  Commissioners and Transaction of Business) A,358
Election Laws (Extension to Sikkim) Act,359
Electricity Act,360
Elephants' Preservation Act,361
Emblems and Names (Prevention of Improper Use) Act,362
Emigration Act,363
Employees' Provident Funds and Miscellaneous  Provisions Act,364
Employees' Provident Funds and Miscellaneous Provisions (Amendment) Act,365
Employees' State Insurance Act,366
Employees' State Insurance (Amendment) Act,367
Employers' Liability Act,368
Employment Exchanges (Compulsory Notification of Vacancies)  Act,369
Employment of Manual Scavengers and Construction of Dry  Latrines  (Prohibition) Act,370
Enemy Property Act,371
Energy Conservation Act,373
English and Foreign Languages University Act                                                      20,372
Environment (Protection) Act,374
Epidemic Diseases Act,375
Equal Remuneration Act,376
Essential Commodities Act,377
Essential Services Maintenance (Assam) Act,378
Esso (Acquisition of Undertakings in India) Act,379
Exchange of Prisoners Act,380
Excise (Malt Liquors) Act,381
Excise (Spirits) Act,382
Expenditure-tax Act,383
Explosives Act,385
Explosive Substances Act,384
Export-Import Bank of India Act,386
Export (Quality Control and Inspection) Act,387
Extradition Act,388
Factories Act,389
Family Courts Act,390
Faridabad Development Corporation Act,391
Fatal Accidents Act,392
Finance Commission (Miscellaneous Provisions) Act,393
Fiscal Responsibility and Budget Management Act,394
Food Corporations Act,395
Food Safety and Standards Act,396
Foreign Aircraft (Exemption from Taxes and Duties on Fuel and Lubricants) Act,397
Foreign Contribution (Regulation) Act,398
Foreigners Act,404
